name;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
'unknown';0.010000;3.216718e+01;2.453410e-01;5.889599e-01
'unknown';0.020000;1.248243e+02;5.170812e-01;4.562929e-01
'unknown';0.030000;2.194134e+02;8.057876e-01;3.243912e-01
'unknown';0.040000;2.848064e+02;8.549381e-01;4.951020e-01
'unknown';0.050000;2.919874e+02;8.798140e-01;5.679501e-01
'unknown';0.060000;2.985178e+02;8.848687e-01;9.473155e-01
'unknown';0.070000;3.032304e+02;8.724377e-01;8.074043e-01
'unknown';0.080000;3.057796e+02;8.478635e-01;7.696155e-01
'unknown';0.090000;3.048665e+02;8.130849e-01;5.106725e-01
'unknown';0.100000;3.010439e+02;7.902573e-01;4.046047e-01
'unknown';0.110000;2.985993e+02;7.618524e-01;2.897381e-01
'unknown';0.120000;2.479061e+02;7.506229e-01;1.022835e-01
'unknown';0.130000;2.476799e+02;7.362380e-01;1.985362e-01
'unknown';0.140000;2.459612e+02;7.369292e-01;3.622725e-01
'unknown';0.150000;2.959915e+02;7.386813e-01;5.737891e-01
'unknown';0.160000;2.973108e+02;7.345657e-01;5.501843e-01
'unknown';0.170000;2.997470e+02;7.270615e-01;6.299700e-01
'unknown';0.180000;2.002037e+02;7.085581e-01;4.407200e-01
'unknown';0.190000;1.006603e+02;6.954052e-01;4.538819e-01
'unknown';0.200000;0;6.744663e-01;2.050347e-01
'unknown';0.210000;0;6.601425e-01;2.055895e-01
'unknown';0.220000;1.070600e+02;6.718013e-01;1.241618e-01
'unknown';0.230000;1.988148e+02;7.111844e-01;2.321854e-01
'unknown';0.240000;2.865866e+02;7.690781e-01;2.573134e-01
'unknown';0.250000;3.466996e+02;8.137894e-01;2.907110e-01
'unknown';0.260000;4.214015e+02;8.479929e-01;4.089035e-01
'unknown';0.270000;4.150175e+02;8.598593e-01;8.447146e-01
'unknown';0.280000;3.284748e+02;8.593630e-01;1.153795e+00
